epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5297,1.11711,2.01387,1.451,0.48749,0.51534,0.42808,0.23935,1.37432,2.96827,2.085,0.000659091,0.000659091,0.000659091
2,35.2547,1.3455,1.70636,1.61817,0.01117,0.27607,0.00627,0.00207,2.62471,23.6513,3.16504,0.00130935,0.00130935,0.00130935
3,51.994,1.42609,1.69465,1.68516,0.63298,0.41718,0.46348,0.22155,1.74354,2.36833,2.24661,0.00194311,0.00194311,0.00194311
4,68.4491,1.47277,1.79338,1.73287,0.51745,0.36196,0.38559,0.20788,1.71834,2.8815,2.1488,0.00192575,0.00192575,0.00192575
5,84.8428,1.35167,1.67745,1.63886,0.46404,0.48338,0.41508,0.23874,1.81452,1.82031,2.27579,0.001901,0.001901,0.001901
6,102.396,1.3356,1.68701,1.615,0.43331,0.48317,0.44764,0.26114,1.41348,1.90865,1.73501,0.00187625,0.00187625,0.00187625
7,119.017,1.33302,1.55079,1.60573,0.68672,0.58282,0.65747,0.39404,1.35502,1.96175,1.76347,0.0018515,0.0018515,0.0018515
8,135.809,1.25915,1.48007,1.54826,0.60257,0.58601,0.62653,0.37414,1.4109,1.63206,1.77802,0.00182675,0.00182675,0.00182675
9,152.701,1.21955,1.4204,1.51973,0.71318,0.62543,0.65017,0.43117,1.19275,1.38544,1.67196,0.001802,0.001802,0.001802
10,170.374,1.19304,1.39981,1.48633,0.63908,0.72393,0.72963,0.46536,1.1716,1.17022,1.55547,0.00177725,0.00177725,0.00177725
11,187.259,1.14507,1.30958,1.46976,0.7021,0.66513,0.7133,0.48446,1.15031,1.25052,1.53258,0.0017525,0.0017525,0.0017525
12,204.199,1.15978,1.32861,1.46328,0.70215,0.66258,0.72838,0.47953,1.18174,1.28079,1.55633,0.00172775,0.00172775,0.00172775
13,221.931,1.11101,1.28369,1.43126,0.76452,0.70552,0.77077,0.51659,1.13632,1.10884,1.50533,0.001703,0.001703,0.001703
14,238.647,1.116,1.27051,1.43261,0.7631,0.7312,0.76242,0.51705,0.98581,1.18952,1.3898,0.00167825,0.00167825,0.00167825
15,255.299,1.13609,1.27172,1.45964,0.70804,0.77367,0.79904,0.5158,1.10207,1.23528,1.45769,0.0016535,0.0016535,0.0016535
16,271.733,1.09322,1.26775,1.41673,0.85288,0.70552,0.79264,0.53942,1.1217,1.17097,1.49745,0.00162875,0.00162875,0.00162875
17,289.714,1.03439,1.13078,1.37371,0.75957,0.75588,0.80684,0.56596,1.05066,0.98638,1.45094,0.001604,0.001604,0.001604
18,306.213,1.0632,1.10834,1.41156,0.75331,0.76687,0.78783,0.55667,1.05061,0.97271,1.44065,0.00157925,0.00157925,0.00157925
19,322.536,1.08197,1.20268,1.42327,0.81533,0.77914,0.84452,0.6038,0.97744,0.96396,1.37909,0.0015545,0.0015545,0.0015545
20,339.606,1.01428,1.13523,1.36826,0.81751,0.71166,0.79804,0.56381,1.0022,1.01824,1.40583,0.00152975,0.00152975,0.00152975
21,356.701,1.03634,1.12374,1.38562,0.77871,0.77721,0.80385,0.53416,1.22105,1.05395,1.62682,0.001505,0.001505,0.001505
22,373.21,1.02275,1.10596,1.36352,0.75828,0.81595,0.80881,0.58146,0.99169,0.92165,1.38238,0.00148025,0.00148025,0.00148025
23,390.305,0.98893,1.06214,1.33932,0.8624,0.7362,0.82081,0.60261,0.94554,0.85315,1.36482,0.0014555,0.0014555,0.0014555
24,407.873,0.98093,1.03182,1.35631,0.76876,0.75466,0.81508,0.59516,0.92789,0.95128,1.3375,0.00143075,0.00143075,0.00143075
25,424.525,1.00943,1.08223,1.37618,0.86113,0.7546,0.83178,0.61597,0.94679,0.86535,1.31394,0.001406,0.001406,0.001406
26,441.073,1.00499,1.05175,1.35789,0.80174,0.8187,0.84377,0.60244,0.98929,0.97571,1.37285,0.00138125,0.00138125,0.00138125
27,457.973,1.00508,1.04429,1.35817,0.78492,0.78361,0.80253,0.57538,0.95263,0.89235,1.34822,0.0013565,0.0013565,0.0013565
28,475.169,1.03415,1.04786,1.40297,0.73723,0.76074,0.76679,0.56649,0.8983,0.9451,1.31102,0.00133175,0.00133175,0.00133175
29,491.85,0.94269,0.95115,1.30708,0.77407,0.84663,0.8432,0.61576,0.9784,0.86989,1.39078,0.001307,0.001307,0.001307
30,508.412,0.98063,1.00284,1.34671,0.7942,0.79141,0.83855,0.61756,0.94348,0.82161,1.3696,0.00128225,0.00128225,0.00128225
31,525.89,0.95945,1.00482,1.32421,0.82469,0.73006,0.82105,0.61015,0.93239,0.87904,1.32135,0.0012575,0.0012575,0.0012575
32,542.654,0.92016,0.95404,1.30333,0.88489,0.70746,0.7893,0.57344,0.96588,0.92646,1.40333,0.00123275,0.00123275,0.00123275
33,559.161,0.91436,0.9379,1.29009,0.82326,0.76687,0.83873,0.62307,0.92036,0.86379,1.32064,0.001208,0.001208,0.001208
34,575.724,0.89703,0.90313,1.29733,0.82728,0.76399,0.8257,0.61904,0.87518,0.78956,1.28824,0.00118325,0.00118325,0.00118325
35,593.414,0.94168,0.93563,1.32842,0.86378,0.77805,0.8591,0.64654,0.83756,0.7772,1.24835,0.0011585,0.0011585,0.0011585
36,609.919,0.8634,0.8657,1.25031,0.76513,0.81945,0.80832,0.58426,0.99301,0.86705,1.37333,0.00113375,0.00113375,0.00113375
37,626.719,0.91642,0.96066,1.28916,0.80845,0.71779,0.80222,0.59947,0.88818,0.85468,1.2991,0.001109,0.001109,0.001109
38,643.706,0.93388,0.96632,1.31514,0.86865,0.76074,0.83037,0.62032,0.93779,0.90689,1.31747,0.00108425,0.00108425,0.00108425
39,661.195,0.91365,0.9335,1.30353,0.83073,0.81297,0.85882,0.64107,0.91522,0.7957,1.3306,0.0010595,0.0010595,0.0010595
40,677.896,0.89219,0.89267,1.28149,0.90246,0.7947,0.87838,0.63856,0.9281,0.75197,1.33932,0.00103475,0.00103475,0.00103475
41,694.396,0.9076,0.87977,1.28981,0.84018,0.76687,0.82751,0.6176,0.9108,0.84033,1.31675,0.00101,0.00101,0.00101
42,711.325,0.88144,0.90816,1.28232,0.74575,0.86376,0.85926,0.63295,0.89021,0.79414,1.30868,0.00098525,0.00098525,0.00098525
43,728.6,0.84235,0.86286,1.24281,0.88798,0.77815,0.86362,0.6404,0.90842,0.791,1.35179,0.0009605,0.0009605,0.0009605
44,745.172,0.87733,0.88191,1.27138,0.88845,0.7818,0.86444,0.64592,0.86769,0.73687,1.26368,0.00093575,0.00093575,0.00093575
45,761.899,0.86673,0.85914,1.26187,0.88688,0.81772,0.88013,0.64624,0.88903,0.75382,1.29828,0.000911,0.000911,0.000911
46,779.391,0.85892,0.83167,1.24169,0.87544,0.86236,0.8775,0.65063,0.89203,0.71653,1.27766,0.00088625,0.00088625,0.00088625
47,796.516,0.83745,0.8225,1.24894,0.91482,0.7907,0.87097,0.65723,0.83659,0.75107,1.24899,0.0008615,0.0008615,0.0008615
48,813.315,0.85109,0.82523,1.25319,0.83653,0.76074,0.84393,0.6453,0.83826,0.77901,1.24539,0.00083675,0.00083675,0.00083675
49,830.153,0.82571,0.80924,1.24178,0.83737,0.85287,0.88179,0.66854,0.84718,0.7091,1.26306,0.000812,0.000812,0.000812
50,847.832,0.84091,0.8034,1.25133,0.81218,0.84049,0.86625,0.66332,0.85922,0.69093,1.2821,0.00078725,0.00078725,0.00078725
51,864.591,0.81259,0.79385,1.22411,0.84081,0.84049,0.8709,0.657,0.80104,0.68355,1.23525,0.0007625,0.0007625,0.0007625
52,881.035,0.81592,0.80411,1.21871,0.82173,0.80982,0.81991,0.62613,0.86972,0.77172,1.29778,0.00073775,0.00073775,0.00073775
53,898.523,0.81971,0.79538,1.22504,0.8782,0.78528,0.85534,0.65663,0.85122,0.70552,1.27382,0.000713,0.000713,0.000713
54,915.476,0.81023,0.76542,1.22689,0.91214,0.82796,0.88186,0.65647,0.87093,0.71009,1.3001,0.00068825,0.00068825,0.00068825
55,932.128,0.79997,0.73105,1.20619,0.86721,0.8414,0.86184,0.64287,0.88002,0.68996,1.31192,0.0006635,0.0006635,0.0006635
56,948.815,0.81324,0.75036,1.2224,0.86466,0.86503,0.88292,0.67328,0.82598,0.63144,1.24632,0.00063875,0.00063875,0.00063875
57,966.638,0.77035,0.70673,1.19262,0.86134,0.82822,0.85081,0.63621,0.88037,0.70579,1.29692,0.000614,0.000614,0.000614
58,983.647,0.77201,0.71983,1.19997,0.85706,0.8589,0.88152,0.6919,0.74715,0.6632,1.19676,0.00058925,0.00058925,0.00058925
59,1000.33,0.74407,0.7271,1.1789,0.85893,0.84049,0.86745,0.64842,0.85624,0.71029,1.27286,0.0005645,0.0005645,0.0005645
60,1017.08,0.76363,0.70791,1.19028,0.85223,0.84916,0.85938,0.67278,0.80481,0.65596,1.24597,0.00053975,0.00053975,0.00053975
61,1034.79,0.73302,0.6803,1.16922,0.85947,0.86298,0.89736,0.68523,0.80427,0.67015,1.26461,0.000515,0.000515,0.000515
62,1051.49,0.74232,0.69229,1.18422,0.86996,0.82822,0.86511,0.67413,0.80795,0.67533,1.25859,0.00049025,0.00049025,0.00049025
63,1068.08,0.73048,0.68231,1.16253,0.84898,0.83436,0.86548,0.68388,0.76328,0.64029,1.21886,0.0004655,0.0004655,0.0004655
64,1085.5,0.73936,0.67228,1.1575,0.83455,0.85276,0.87966,0.69353,0.78223,0.65427,1.21426,0.00044075,0.00044075,0.00044075
65,1103.04,0.71355,0.6647,1.17042,0.87403,0.82822,0.88084,0.6849,0.79956,0.65769,1.23486,0.000416,0.000416,0.000416
66,1119.73,0.69403,0.62337,1.14681,0.85779,0.84663,0.87402,0.67563,0.7759,0.67446,1.2437,0.00039125,0.00039125,0.00039125
67,1136.6,0.71747,0.65643,1.16538,0.87659,0.79755,0.87526,0.68046,0.79693,0.69348,1.26681,0.0003665,0.0003665,0.0003665
68,1154.39,0.72363,0.6343,1.17251,0.92352,0.79755,0.87201,0.68303,0.78691,0.7106,1.23031,0.00034175,0.00034175,0.00034175
69,1171.23,0.6991,0.61579,1.13948,0.91541,0.82822,0.88527,0.67217,0.82963,0.65338,1.2808,0.000317,0.000317,0.000317
70,1188.07,0.71626,0.6437,1.16868,0.8947,0.82209,0.87853,0.67045,0.84972,0.62945,1.31464,0.00029225,0.00029225,0.00029225
71,1207.24,0.56782,0.47443,1.06516,0.91248,0.83149,0.88271,0.68951,0.81279,0.61155,1.29318,0.0002675,0.0002675,0.0002675
72,1223.87,0.55288,0.4323,1.03927,0.88681,0.81713,0.8816,0.69004,0.79103,0.62138,1.28085,0.00024275,0.00024275,0.00024275
73,1240.3,0.55617,0.43974,1.05755,0.91725,0.81609,0.87376,0.6849,0.77875,0.64859,1.26166,0.000218,0.000218,0.000218
74,1256.65,0.54156,0.40931,1.02506,0.86154,0.83984,0.86503,0.66942,0.79301,0.63967,1.25747,0.00019325,0.00019325,0.00019325
75,1273.68,0.52516,0.42263,1.02626,0.89267,0.78528,0.86709,0.68139,0.78389,0.65171,1.26547,0.0001685,0.0001685,0.0001685
76,1290.26,0.52473,0.3987,1.0217,0.88894,0.83476,0.87614,0.68753,0.79973,0.63233,1.29222,0.00014375,0.00014375,0.00014375
77,1306.53,0.52736,0.40238,1.03206,0.88798,0.82209,0.87551,0.69362,0.82305,0.62378,1.29603,0.000119,0.000119,0.000119
78,1323,0.51937,0.39272,1.01967,0.92391,0.81942,0.87127,0.69286,0.80644,0.61644,1.27868,9.425e-05,9.425e-05,9.425e-05
79,1340.18,0.52679,0.39522,1.03069,0.90643,0.83204,0.87923,0.69705,0.7951,0.61627,1.27651,6.95e-05,6.95e-05,6.95e-05
80,1356.76,0.50955,0.3888,1.03591,0.91841,0.80982,0.87423,0.69372,0.80351,0.62894,1.27842,4.475e-05,4.475e-05,4.475e-05
