epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1403,1.12293,3.26347,1.46255,0.39108,0.47853,0.32562,0.16059,1.76736,5.60299,2.37101,0.000659091,0.000659091,0.000659091
2,77.8151,1.4746,1.95938,1.63289,0.17259,0.18405,0.10043,0.04164,2.45915,7.80572,2.78665,0.00130935,0.00130935,0.00130935
3,98.8397,1.55086,2.01923,1.68788,0.49005,0.42331,0.43911,0.22994,1.67034,5.44606,2.09893,0.00194311,0.00194311,0.00194311
4,119.599,1.52322,1.99594,1.68629,0.22429,0.25153,0.14779,0.0677,2.10717,13.0465,3.03292,0.00192575,0.00192575,0.00192575
5,139.348,1.50827,1.84963,1.67221,0.64181,0.65031,0.66824,0.40314,1.49871,1.67383,1.86021,0.001901,0.001901,0.001901
6,160.372,1.47049,1.78402,1.62236,0.64487,0.42331,0.49286,0.28142,1.62567,1.76945,1.83814,0.00187625,0.00187625,0.00187625
7,180.33,1.45635,1.74984,1.60466,0.63152,0.67485,0.66188,0.37539,1.44404,1.46479,1.71722,0.0018515,0.0018515,0.0018515
8,201.367,1.40572,1.66103,1.56663,0.59315,0.55215,0.60449,0.36761,1.37861,1.68116,1.68593,0.00182675,0.00182675,0.00182675
9,221.172,1.34151,1.59324,1.52574,0.73011,0.58896,0.64859,0.40231,1.34012,1.31711,1.65915,0.001802,0.001802,0.001802
10,242.185,1.32169,1.58769,1.49951,0.71258,0.66871,0.74108,0.47281,1.32177,1.18996,1.62538,0.00177725,0.00177725,0.00177725
11,262.455,1.29854,1.46435,1.4905,0.68017,0.75673,0.73884,0.48346,1.14715,1.00796,1.48621,0.0017525,0.0017525,0.0017525
12,282.984,1.30452,1.51529,1.50233,0.70987,0.67485,0.74234,0.5076,1.14594,1.09264,1.49878,0.00172775,0.00172775,0.00172775
13,304.322,1.246,1.4135,1.44896,0.7344,0.69552,0.75451,0.4891,1.20673,1.25497,1.52455,0.001703,0.001703,0.001703
14,324.149,1.23438,1.46783,1.4544,0.6935,0.70797,0.73178,0.47744,1.17777,1.13212,1.53899,0.00167825,0.00167825,0.00167825
15,345.051,1.23468,1.4117,1.45015,0.73019,0.71393,0.74512,0.5036,1.16249,1.06332,1.44519,0.0016535,0.0016535,0.0016535
16,364.964,1.21559,1.38844,1.44332,0.69961,0.73006,0.75046,0.52123,1.05192,1.21906,1.42522,0.00162875,0.00162875,0.00162875
17,385.913,1.17224,1.2372,1.4032,0.78149,0.70214,0.7991,0.54599,1.1335,0.99604,1.50154,0.001604,0.001604,0.001604
18,405.7,1.15388,1.25597,1.40073,0.74898,0.68712,0.76772,0.51803,1.16496,1.04619,1.48778,0.00157925,0.00157925,0.00157925
19,426.596,1.2259,1.30549,1.45395,0.81856,0.71779,0.80489,0.54864,1.11119,0.94527,1.45841,0.0015545,0.0015545,0.0015545
20,447.205,1.16431,1.28258,1.40247,0.76393,0.77428,0.79107,0.57024,1.09088,0.96641,1.43076,0.00152975,0.00152975,0.00152975
21,467.092,1.13613,1.28675,1.4144,0.79253,0.71166,0.79398,0.53529,1.14154,1.05821,1.49728,0.001505,0.001505,0.001505
22,487.662,1.13518,1.23928,1.38311,0.79575,0.71704,0.78309,0.52149,1.28943,1.03809,1.54663,0.00148025,0.00148025,0.00148025
23,507.481,1.10972,1.19682,1.36395,0.85756,0.71166,0.83854,0.60745,0.99737,0.83189,1.37585,0.0014555,0.0014555,0.0014555
24,528.275,1.07629,1.12404,1.36129,0.78545,0.78607,0.8613,0.64108,0.93801,0.7808,1.32454,0.00143075,0.00143075,0.00143075
25,548.091,1.10144,1.21367,1.39549,0.77856,0.79141,0.83863,0.60208,1.05049,0.84106,1.38498,0.001406,0.001406,0.001406
26,568.727,1.08697,1.16287,1.36472,0.85986,0.75289,0.84544,0.60947,1.08544,0.7736,1.4165,0.00138125,0.00138125,0.00138125
27,588.537,1.10523,1.1127,1.37821,0.86637,0.71595,0.83149,0.59417,1.0488,0.82422,1.39935,0.0013565,0.0013565,0.0013565
