epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7145,1.42896,2.35588,1.77418,0.00166,0.17178,0.00072,0.00017,nan,nan,nan,0.000659091,0.000659091,0.000659091
2,108.314,1.72434,2.19274,1.99772,0.00483,0.15951,0.00191,0.0004,3.61358,817.229,27.8125,0.00131263,0.00131263,0.00131263
3,150.485,1.71771,2.16354,1.98834,0.05234,0.09202,0.02597,0.00675,3.3265,7.27885,5.26615,0.00195297,0.00195297,0.00195297
4,193.268,1.61085,2.10915,1.92295,0.2387,0.60123,0.40652,0.19398,1.50815,11.4724,2.10262,0.0019406,0.0019406,0.0019406
5,236.004,1.53971,1.9296,1.84068,0.43149,0.34356,0.30494,0.16406,2.38172,2.46642,3.283,0.0019208,0.0019208,0.0019208
6,278.353,1.46371,1.94511,1.8056,0.51926,0.4908,0.50309,0.2371,1.49721,4.49634,2.05069,0.001901,0.001901,0.001901
7,321.019,1.44598,1.86395,1.79813,0.52786,0.60361,0.55633,0.3156,1.44771,2.2444,1.89721,0.0018812,0.0018812,0.0018812
8,363.487,1.38067,1.80323,1.74107,0.48818,0.59509,0.54566,0.32193,1.27361,2.2256,1.67637,0.0018614,0.0018614,0.0018614
9,405.807,1.35908,1.75263,1.71183,0.54536,0.68098,0.59373,0.3609,1.27532,1.65104,1.70627,0.0018416,0.0018416,0.0018416
10,448.278,1.30234,1.68304,1.6205,0.60694,0.6135,0.64248,0.40713,1.21584,1.61318,1.64611,0.0018218,0.0018218,0.0018218
11,490.985,1.25199,1.57423,1.60994,0.69467,0.6319,0.6682,0.39765,1.29127,1.77257,1.7054,0.001802,0.001802,0.001802
12,533.332,1.31276,1.6652,1.65344,0.66722,0.63804,0.59438,0.36721,1.25983,1.58882,1.67706,0.0017822,0.0017822,0.0017822
13,575.618,1.25404,1.62911,1.61545,0.6159,0.68863,0.65446,0.40865,1.1972,1.6911,1.58662,0.0017624,0.0017624,0.0017624
14,618.166,1.2467,1.58244,1.60744,0.69276,0.59482,0.66547,0.39676,1.30037,1.71341,1.75645,0.0017426,0.0017426,0.0017426
15,660.737,1.23717,1.57759,1.60493,0.66332,0.60736,0.65363,0.40483,1.33335,1.48592,1.69273,0.0017228,0.0017228,0.0017228
16,703.235,1.1925,1.5164,1.56455,0.59267,0.67841,0.68212,0.45889,1.09704,1.29303,1.52918,0.001703,0.001703,0.001703
17,745.921,1.16695,1.41342,1.53347,0.62776,0.70356,0.68148,0.44355,1.07798,1.42127,1.53807,0.0016832,0.0016832,0.0016832
18,788.467,1.15919,1.43725,1.56102,0.68456,0.66871,0.68991,0.45401,1.14543,1.3254,1.54548,0.0016634,0.0016634,0.0016634
19,830.884,1.16991,1.46045,1.56067,0.70241,0.63804,0.70986,0.49554,1.0255,1.18864,1.4654,0.0016436,0.0016436,0.0016436
20,873.524,1.13704,1.43853,1.53749,0.74115,0.68098,0.73278,0.49976,1.09018,1.16705,1.51335,0.0016238,0.0016238,0.0016238
21,916.186,1.14298,1.43008,1.52078,0.70462,0.70552,0.75793,0.50048,1.14857,1.1844,1.55559,0.001604,0.001604,0.001604
22,958.795,1.11029,1.34569,1.49606,0.70924,0.72393,0.75495,0.50754,1.12141,1.17633,1.51807,0.0015842,0.0015842,0.0015842
23,1001.48,1.12217,1.35065,1.50612,0.68377,0.66326,0.69736,0.47047,1.04593,1.27382,1.47708,0.0015644,0.0015644,0.0015644
24,1043.78,1.083,1.3094,1.47711,0.73153,0.66867,0.72825,0.51282,1.02019,1.12499,1.44324,0.0015446,0.0015446,0.0015446
25,1086.13,1.11186,1.37447,1.52229,0.71912,0.70552,0.75106,0.4938,1.08821,1.1782,1.49621,0.0015248,0.0015248,0.0015248
26,1128.24,1.0835,1.29326,1.47516,0.73389,0.74847,0.77467,0.54424,1.01786,1.08602,1.45672,0.001505,0.001505,0.001505
27,1170.9,1.1136,1.28179,1.47632,0.79328,0.66258,0.74141,0.50122,1.07894,1.28105,1.49496,0.0014852,0.0014852,0.0014852
28,1213.2,1.09043,1.27313,1.4847,0.69355,0.65258,0.67118,0.46549,1.07541,1.1945,1.5021,0.0014654,0.0014654,0.0014654
29,1255.55,1.03896,1.17877,1.42993,0.75803,0.74958,0.79043,0.55264,1.02302,1.04977,1.45085,0.0014456,0.0014456,0.0014456
30,1298.23,1.0742,1.23295,1.47355,0.75108,0.75896,0.77409,0.55994,0.97268,0.99504,1.38541,0.0014258,0.0014258,0.0014258
31,1340.8,1.04907,1.21361,1.43989,0.74245,0.71779,0.75776,0.54444,0.97424,1.04488,1.40875,0.001406,0.001406,0.001406
32,1383.09,1.02121,1.18931,1.43854,0.84489,0.69325,0.80521,0.59218,0.94331,0.97329,1.38277,0.0013862,0.0013862,0.0013862
33,1425.74,1.03906,1.16837,1.43939,0.82339,0.77224,0.81805,0.58612,0.9946,0.95403,1.43192,0.0013664,0.0013664,0.0013664
34,1468,1.0222,1.15825,1.43411,0.76067,0.76045,0.78739,0.56501,0.95399,0.96655,1.36841,0.0013466,0.0013466,0.0013466
35,1510.27,1.04913,1.17991,1.44878,0.77013,0.71166,0.76864,0.56079,1.02922,1.05616,1.42239,0.0013268,0.0013268,0.0013268
36,1552.62,0.9813,1.1125,1.38628,0.7355,0.74233,0.80541,0.57197,0.96739,0.97534,1.38731,0.001307,0.001307,0.001307
37,1595.07,0.99792,1.13437,1.42032,0.72816,0.74847,0.80758,0.56984,0.96845,1.02556,1.41357,0.0012872,0.0012872,0.0012872
38,1637.53,1.01287,1.16572,1.43195,0.78325,0.70552,0.78596,0.57226,0.93158,1.04292,1.35927,0.0012674,0.0012674,0.0012674
39,1680.06,1.01025,1.15816,1.43557,0.77517,0.76687,0.76073,0.52711,1.04012,1.09339,1.48827,0.0012476,0.0012476,0.0012476
40,1722.43,1.00205,1.13557,1.41444,0.70574,0.79455,0.79533,0.58703,0.86058,0.95262,1.30835,0.0012278,0.0012278,0.0012278
41,1764.76,0.99481,1.11352,1.41057,0.80459,0.7578,0.82961,0.58952,0.979,0.96003,1.39387,0.001208,0.001208,0.001208
42,1807.2,1.01413,1.16535,1.42071,0.7392,0.70552,0.74581,0.52958,0.95803,1.17521,1.38665,0.0011882,0.0011882,0.0011882
43,1849.48,0.94354,1.10045,1.38211,0.7498,0.77301,0.80754,0.60566,0.86581,0.967,1.31274,0.0011684,0.0011684,0.0011684
44,1892.02,0.96966,1.08632,1.39712,0.77573,0.81595,0.79083,0.58095,0.83763,0.95059,1.31891,0.0011486,0.0011486,0.0011486
45,1934.37,0.95813,1.09029,1.38118,0.84074,0.77726,0.85552,0.61777,0.95256,0.89654,1.36694,0.0011288,0.0011288,0.0011288
46,1977.25,0.93164,1.02296,1.34522,0.78608,0.74394,0.80917,0.5987,0.89584,0.94018,1.32236,0.001109,0.001109,0.001109
47,2019.3,0.9269,1.04348,1.36034,0.74285,0.79755,0.82344,0.60937,0.89669,0.91935,1.31761,0.0010892,0.0010892,0.0010892
48,2061.52,0.9276,1.04455,1.36093,0.76711,0.81595,0.83738,0.61591,0.85002,0.87705,1.2852,0.0010694,0.0010694,0.0010694
49,2103.95,0.93346,1.03056,1.37628,0.82872,0.67485,0.78137,0.56556,0.97456,1.04416,1.36997,0.0010496,0.0010496,0.0010496
50,2146.22,0.91961,1.02664,1.35935,0.81797,0.79946,0.83519,0.63415,0.86905,0.84645,1.31565,0.0010298,0.0010298,0.0010298
51,2188.73,0.93683,0.99399,1.3792,0.74288,0.74233,0.78324,0.59021,0.88125,0.92359,1.32262,0.00101,0.00101,0.00101
52,2231.23,0.92699,1.02887,1.36208,0.73481,0.73006,0.77581,0.56426,0.88541,0.96205,1.33497,0.0009902,0.0009902,0.0009902
53,2273.51,0.925,1.0193,1.36686,0.75358,0.77914,0.79816,0.5843,0.92406,0.95324,1.35281,0.0009704,0.0009704,0.0009704
54,2315.95,0.94305,1.00118,1.37937,0.78305,0.80982,0.81115,0.58508,0.95287,0.87306,1.36946,0.0009506,0.0009506,0.0009506
55,2358.51,0.90875,0.97274,1.3481,0.81846,0.71914,0.79633,0.59931,0.89891,0.89343,1.3812,0.0009308,0.0009308,0.0009308
56,2400.81,0.92835,0.98944,1.35581,0.73318,0.80982,0.82206,0.61716,0.85149,0.86909,1.30078,0.000911,0.000911,0.000911
57,2443.15,0.88206,0.92256,1.33456,0.81517,0.7546,0.82569,0.60181,0.9471,0.85939,1.37846,0.0008912,0.0008912,0.0008912
58,2485.31,0.90309,0.93638,1.33334,0.73193,0.79141,0.78972,0.56712,0.94517,0.92103,1.38528,0.0008714,0.0008714,0.0008714
59,2527.6,0.87832,0.94323,1.31897,0.80234,0.79688,0.82739,0.60925,0.89161,0.81501,1.34127,0.0008516,0.0008516,0.0008516
60,2569.92,0.91394,0.94151,1.33835,0.78118,0.79141,0.82764,0.6082,0.88674,0.84747,1.33723,0.0008318,0.0008318,0.0008318
61,2612.16,0.85002,0.91913,1.30606,0.83808,0.80982,0.85635,0.63447,0.89162,0.80597,1.34269,0.000812,0.000812,0.000812
62,2654.81,0.88047,0.95237,1.32695,0.8418,0.78528,0.85882,0.6539,0.84136,0.77075,1.28873,0.0007922,0.0007922,0.0007922
63,2697.34,0.83929,0.91065,1.2864,0.76382,0.81595,0.8315,0.61435,0.8532,0.81372,1.3195,0.0007724,0.0007724,0.0007724
64,2739.7,0.85368,0.87279,1.29299,0.85006,0.81595,0.8643,0.65831,0.83723,0.78061,1.27818,0.0007526,0.0007526,0.0007526
65,2782.27,0.86035,0.92613,1.32451,0.82716,0.84049,0.86038,0.65109,0.85982,0.80125,1.3098,0.0007328,0.0007328,0.0007328
66,2824.61,0.83602,0.86327,1.28771,0.85585,0.76492,0.85182,0.63527,0.90277,0.79836,1.3324,0.000713,0.000713,0.000713
67,2866.82,0.84249,0.886,1.30347,0.88077,0.77047,0.84582,0.64851,0.83975,0.81915,1.29121,0.0006932,0.0006932,0.0006932
68,2909.12,0.85967,0.84811,1.31466,0.84065,0.79755,0.86682,0.66111,0.85326,0.75439,1.2957,0.0006734,0.0006734,0.0006734
69,2951.81,0.83132,0.84654,1.27446,0.78598,0.82822,0.8539,0.6612,0.80715,0.72995,1.26974,0.0006536,0.0006536,0.0006536
70,2994.37,0.81841,0.84175,1.27543,0.88228,0.7357,0.84443,0.65305,0.8039,0.77732,1.26412,0.0006338,0.0006338,0.0006338
71,3036.78,0.82934,0.86373,1.29292,0.85937,0.77914,0.85624,0.66115,0.82253,0.7607,1.27217,0.000614,0.000614,0.000614
72,3078.8,0.82157,0.84424,1.28415,0.81324,0.77301,0.84409,0.63921,0.84695,0.80067,1.29023,0.0005942,0.0005942,0.0005942
73,3121.09,0.8079,0.79772,1.27604,0.85537,0.76193,0.84055,0.65473,0.78292,0.76463,1.25013,0.0005744,0.0005744,0.0005744
74,3163.55,0.80892,0.85871,1.27521,0.84525,0.79141,0.85038,0.66731,0.77803,0.74269,1.2388,0.0005546,0.0005546,0.0005546
75,3205.98,0.81229,0.81825,1.26096,0.82469,0.80368,0.8467,0.64596,0.82403,0.74888,1.28831,0.0005348,0.0005348,0.0005348
76,3248.3,0.81765,0.81718,1.28776,0.86752,0.81595,0.8586,0.65682,0.81094,0.73858,1.26846,0.000515,0.000515,0.000515
77,3290.68,0.78526,0.82621,1.25884,0.88609,0.78528,0.86453,0.65483,0.81629,0.77751,1.27535,0.0004952,0.0004952,0.0004952
78,3333.18,0.78595,0.80084,1.26434,0.85853,0.81595,0.85885,0.65121,0.81189,0.74228,1.24167,0.0004754,0.0004754,0.0004754
79,3375.63,0.76465,0.79683,1.23787,0.85176,0.84602,0.88724,0.67381,0.81713,0.71633,1.26082,0.0004556,0.0004556,0.0004556
80,3418.11,0.79177,0.79,1.26587,0.85831,0.80368,0.87241,0.67777,0.77214,0.7289,1.23234,0.0004358,0.0004358,0.0004358
81,3460.77,0.77416,0.79068,1.25309,0.82162,0.81946,0.86907,0.67142,0.81195,0.71452,1.25878,0.000416,0.000416,0.000416
82,3503.1,0.76659,0.76971,1.24298,0.84889,0.79266,0.86472,0.67097,0.80505,0.74719,1.26455,0.0003962,0.0003962,0.0003962
83,3545.47,0.77551,0.77179,1.24399,0.85129,0.84049,0.87087,0.68525,0.79361,0.68924,1.25429,0.0003764,0.0003764,0.0003764
84,3588.12,0.78044,0.77093,1.26644,0.8291,0.82209,0.86429,0.67492,0.79846,0.71939,1.27068,0.0003566,0.0003566,0.0003566
