epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.366,1.51195,1.79998,1.74787,0.23113,0.21803,0.15017,0.06421,2.16726,5.29439,2.84612,0.00066358,0.00066358,0.00066358
2,321.315,1.57682,1.81053,1.81206,0.499,0.33861,0.36493,0.20137,1.81093,2.42346,2.11447,0.00131143,0.00131143,0.00131143
3,467.276,1.49366,1.70833,1.74512,0.55516,0.50468,0.52518,0.26578,1.5889,2.89631,1.84233,0.00194043,0.00194043,0.00194043
4,618.739,1.43445,1.60205,1.68616,0.67367,0.55055,0.63096,0.32781,1.51389,1.75307,1.79726,0.00191514,0.00191514,0.00191514
5,770.017,1.38052,1.50152,1.64131,0.67143,0.48356,0.56166,0.23032,1.87275,1.78737,2.04384,0.00188686,0.00188686,0.00188686
6,918.08,1.34788,1.41132,1.60703,0.74517,0.64312,0.73649,0.44189,1.31666,1.44279,1.58613,0.00185857,0.00185857,0.00185857
7,1068.69,1.30195,1.36189,1.56735,0.73427,0.67479,0.7484,0.41232,1.47871,1.30241,1.73401,0.00183029,0.00183029,0.00183029
8,1217.29,1.28227,1.30971,1.56318,0.78343,0.68088,0.76775,0.41472,1.51016,1.19145,1.74077,0.001802,0.001802,0.001802
9,1364.39,1.26699,1.24595,1.54978,0.75813,0.71133,0.78881,0.43342,1.47932,1.15487,1.71291,0.00177371,0.00177371,0.00177371
10,1511.9,1.2342,1.22799,1.51395,0.83036,0.70402,0.80061,0.42501,1.62622,1.12883,1.80205,0.00174543,0.00174543,0.00174543
11,1658.4,1.20123,1.16559,1.49059,0.79199,0.69671,0.78862,0.45337,1.38748,1.09395,1.62084,0.00171714,0.00171714,0.00171714
12,1816.9,1.19104,1.1444,1.48691,0.8201,0.74787,0.82159,0.41477,1.61228,1.0259,1.8341,0.00168886,0.00168886,0.00168886
13,1964.08,1.18233,1.15667,1.4837,0.77951,0.69062,0.76556,0.44796,1.4161,1.18005,1.62648,0.00166057,0.00166057,0.00166057
14,2111.89,1.16767,1.1131,1.47017,0.80051,0.74056,0.81671,0.44464,1.46082,0.99796,1.67965,0.00163229,0.00163229,0.00163229
15,2259.81,1.15286,1.08149,1.45185,0.86612,0.7296,0.83409,0.44272,1.47648,0.99491,1.7127,0.001604,0.001604,0.001604
16,2406.58,1.13924,1.07785,1.44929,0.81952,0.75518,0.83522,0.4859,1.40284,0.9765,1.61244,0.00157571,0.00157571,0.00157571
17,2553.38,1.15034,1.04822,1.45334,0.86328,0.74909,0.84846,0.51588,1.30011,0.92436,1.54595,0.00154743,0.00154743,0.00154743
18,2701.17,1.12294,1.04824,1.4306,0.84988,0.7771,0.85598,0.53832,1.31348,0.89418,1.55421,0.00151914,0.00151914,0.00151914
19,2848.44,1.12365,1.0535,1.44018,0.84601,0.77626,0.84648,0.488,1.37649,0.97918,1.6662,0.00149086,0.00149086,0.00149086
20,2995.35,1.1064,1.026,1.42537,0.83159,0.76127,0.85143,0.54563,1.24773,0.88241,1.48739,0.00146257,0.00146257,0.00146257
21,3143.18,1.09981,0.99897,1.4149,0.80569,0.77588,0.83347,0.48568,1.36365,0.91415,1.62939,0.00143429,0.00143429,0.00143429
22,3291.78,1.0938,1.00236,1.40114,0.88235,0.78562,0.87292,0.53651,1.29365,0.85126,1.55962,0.001406,0.001406,0.001406
23,3440.95,1.09286,0.98144,1.41368,0.88805,0.78563,0.8701,0.58847,1.12348,0.80141,1.41027,0.00137771,0.00137771,0.00137771
24,3589.01,1.08689,0.98324,1.40949,0.84195,0.72594,0.81479,0.46303,1.34104,0.97722,1.59265,0.00134943,0.00134943,0.00134943
25,3738.68,1.07914,0.95835,1.39941,0.85037,0.76127,0.85193,0.51527,1.27265,0.86318,1.51573,0.00132114,0.00132114,0.00132114
26,3885.68,1.09012,0.98559,1.40779,0.87793,0.80596,0.878,0.53421,1.2854,0.83888,1.52875,0.00129286,0.00129286,0.00129286
27,4032.47,1.06569,0.94263,1.39074,0.83219,0.77588,0.84762,0.49446,1.34531,0.87041,1.60983,0.00126457,0.00126457,0.00126457
28,4184.04,1.06906,0.94161,1.39064,0.87956,0.82721,0.88204,0.57942,1.20849,0.77318,1.4936,0.00123629,0.00123629,0.00123629
29,4332.38,1.04436,0.91903,1.36886,0.89667,0.82217,0.88625,0.56894,1.20411,0.74529,1.46689,0.001208,0.001208,0.001208
30,4482.04,1.04697,0.90204,1.36562,0.8713,0.80877,0.88211,0.51807,1.35982,0.80828,1.58097,0.00117971,0.00117971,0.00117971
31,4633.17,1.04582,0.89497,1.36495,0.87443,0.77184,0.86046,0.51829,1.31119,0.83731,1.53926,0.00115143,0.00115143,0.00115143
32,4784.69,1.0325,0.88927,1.35943,0.84156,0.80221,0.86913,0.54722,1.22373,0.8177,1.47148,0.00112314,0.00112314,0.00112314
33,4939.12,1.0575,0.91645,1.38001,0.87318,0.81346,0.8769,0.5823,1.15282,0.7773,1.43109,0.00109486,0.00109486,0.00109486
34,5086.34,1.02904,0.89805,1.36712,0.90892,0.8039,0.89024,0.56627,1.23351,0.74952,1.48605,0.00106657,0.00106657,0.00106657
